emp_length,state,homeownership,annual_income,debt_to_income,delinq_2y,months_since_last_delinq,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,combined_annual_income,combined_dti,months_since_last_delinq_never,months_since_90d_late_never,months_since_last_credit_inquiry_never,emp_length_missing,credit_history_years,target_delinquent
3.0,NJ,MORTGAGE,90000.0,18.01,0,38.0,6,28,10,70795,38767,0,0,38.0,0,1250,2,5,5.0,10,0,2,11100,14,8,6,1,92.9,0,0,moving,individual,28000,60,90000.0,18.01,0,0,0,0,15,0
10.0,HI,RENT,40000.0,5.04,0,999.0,1,30,14,28800,4321,0,1,999.0,0,0,0,11,8.0,14,0,3,16500,24,14,4,0,100.0,0,1,debt_consolidation,individual,5000,36,40000.0,5.04,1,1,0,0,20,0
3.0,WI,RENT,40000.0,21.15,0,28.0,4,31,10,24193,16000,0,0,28.0,0,432,1,13,7.0,10,0,3,4300,14,8,6,0,93.5,0,0,other,individual,2000,36,40000.0,21.15,0,0,0,0,10,0
1.0,PA,RENT,30000.0,10.16,0,999.0,0,4,4,25400,4997,0,1,999.0,0,0,1,1,15.0,4,0,2,19400,3,3,2,0,100.0,1,0,debt_consolidation,individual,21600,36,30000.0,10.16,1,1,0,0,9,0
10.0,CA,RENT,35000.0,57.96,0,999.0,7,22,16,69839,52722,0,0,999.0,0,0,1,6,4.0,16,0,10,32700,20,15,13,0,100.0,0,0,credit_card,joint,23000,36,57000.0,37.66,1,1,0,0,8,0
6.0,KY,OWN,34000.0,6.46,1,3.0,6,32,12,42100,3898,0,0,60.0,0,0,0,2,5.0,12,0,1,27200,27,12,5,3,78.1,0,0,other,individual,5000,36,34000.0,6.46,0,0,0,1,26,0
10.0,MI,MORTGAGE,35000.0,23.66,0,999.0,1,12,10,291852,18916,0,0,999.0,0,0,2,1,9.0,10,0,3,9100,8,7,6,2,100.0,0,0,credit_card,joint,24000,60,155000.0,13.12,1,1,0,0,12,0
10.0,AZ,MORTGAGE,110000.0,16.19,1,19.0,1,30,15,342336,60805,0,0,71.0,0,0,2,4,7.0,15,0,5,22250,16,12,10,7,93.0,0,0,debt_consolidation,individual,20000,60,110000.0,16.19,0,0,0,0,11,0
10.0,NV,MORTGAGE,65000.0,36.48,1,18.0,3,35,21,283190,69561,0,0,18.0,0,0,6,10,4.0,21,0,11,36700,19,14,14,2,97.1,0,0,home_improvement,individual,20000,36,65000.0,36.48,0,0,0,0,18,0
3.0,IL,RENT,30000.0,18.91,0,999.0,0,9,6,33114,17768,0,0,999.0,0,0,1,5,17.0,6,0,3,14700,7,5,3,0,100.0,0,0,credit_card,individual,6400,36,30000.0,18.91,1,1,0,0,15,0
10.0,IL,MORTGAGE,75000.0,10.45,0,50.0,4,22,10,39433,22895,0,1,999.0,0,0,2,6,3.0,10,0,2,5000,16,8,5,2,94.1,0,1,debt_consolidation,individual,25000,60,75000.0,10.45,0,1,0,0,20,0
2.0,FL,MORTGAGE,91900.0,1.82,0,999.0,4,26,10,450371,55939,0,0,999.0,0,0,1,7,4.0,10,0,2,9000,15,8,3,3,92.0,0,0,other,individual,40000,60,91900.0,1.82,1,1,0,0,16,0
5.0,SC,MORTGAGE,122000.0,12.06,0,37.0,8,32,12,263800,43686,0,0,37.0,0,31245,2,11,1.0,12,0,3,12100,20,9,5,3,84.4,0,0,debt_consolidation,individual,16000,36,122000.0,12.06,0,0,0,0,26,0
10.0,CO,MORTGAGE,88000.0,3.67,0,44.0,6,65,21,259915,14387,0,0,999.0,0,0,0,7,0.0,21,0,4,70800,53,20,6,3,98.4,0,0,credit_card,individual,17000,60,88000.0,3.67,0,1,0,0,32,0
6.0,FL,MORTGAGE,17000.0,33.98,1,6.0,0,22,10,74042,26483,0,1,6.0,0,0,3,4,14.0,10,0,2,3600,17,7,2,1,90.9,0,1,debt_consolidation,individual,3000,36,17000.0,33.98,0,0,0,1,10,0
10.0,TN,MORTGAGE,60000.0,38.46,0,999.0,0,21,11,136815,75552,0,0,999.0,0,0,3,1,999.0,11,0,3,39700,10,8,3,2,100.0,0,0,credit_card,individual,20000,60,60000.0,38.46,1,1,1,0,21,0
6.0,NV,MORTGAGE,60000.0,31.22,0,77.0,4,21,9,375092,93016,0,0,999.0,0,0,3,8,2.0,9,0,2,15800,7,5,3,2,95.2,0,0,credit_card,individual,12000,60,60000.0,31.22,0,1,0,1,13,0
3.0,NV,RENT,72000.0,20.33,0,37.0,6,12,6,58911,54947,0,0,37.0,0,0,2,3,2.0,6,0,1,2500,5,4,2,0,91.7,0,0,debt_consolidation,individual,30000,60,72000.0,20.33,0,0,0,0,10,0
10.0,IL,MORTGAGE,210000.0,9.53,0,999.0,2,18,7,322046,73705,0,0,999.0,0,0,4,6,2.0,7,0,2,17500,6,2,2,5,100.0,0,0,medical,individual,5000,36,210000.0,9.53,1,1,0,0,13,0
1.0,CA,MORTGAGE,83000.0,18.44,3,14.0,1,11,6,555154,39482,0,0,22.0,0,0,1,1,8.0,6,0,3,8300,7,4,3,2,63.6,0,0,debt_consolidation,individual,20000,60,83000.0,18.44,0,0,0,0,11,0
10.0,KY,MORTGAGE,50000.0,15.6,0,999.0,0,13,9,70313,18128,0,0,999.0,0,0,2,4,13.0,9,0,2,18800,7,6,4,1,100.0,0,0,credit_card,individual,7000,36,50000.0,15.6,1,1,0,0,13,0
1.0,NV,MORTGAGE,42000.0,32.0,0,999.0,4,19,9,272403,47575,0,1,999.0,0,0,3,5,5.0,9,0,3,10100,7,5,5,1,100.0,0,1,credit_card,joint,10000,36,95000.0,16.12,1,1,0,0,25,0
5.0,NJ,MORTGAGE,100000.0,26.53,0,999.0,1,64,17,566384,151251,0,0,999.0,0,150,7,10,6.0,17,0,3,26200,22,8,6,6,100.0,0,0,debt_consolidation,individual,21050,60,100000.0,26.53,1,1,0,0,14,0
6.0,TX,MORTGAGE,40280.0,7.27,0,999.0,1,10,4,188450,6103,0,0,999.0,0,0,1,0,9.0,4,0,1,7500,7,2,1,1,90.0,0,0,home_improvement,individual,3500,36,40280.0,7.27,1,1,0,1,19,0
10.0,VA,RENT,82000.0,17.31,0,67.0,1,26,7,65425,69177,0,0,67.0,0,0,2,3,4.0,7,0,2,11500,14,5,5,2,88.0,0,0,credit_card,individual,8000,36,82000.0,17.31,0,0,0,0,17,0
7.0,PA,MORTGAGE,55000.0,14.42,0,999.0,0,20,14,197985,17296,0,0,999.0,0,142,1,3,999.0,14,0,7,22100,16,12,8,1,100.0,0,0,debt_consolidation,individual,18000,60,55000.0,14.42,1,1,1,0,7,0
1.0,NY,RENT,55000.0,13.68,0,44.0,7,17,11,41891,26637,0,0,44.0,0,0,1,11,3.0,11,0,3,17700,16,10,4,0,100.0,0,0,credit_card,individual,10000,36,55000.0,13.68,0,0,0,0,3,0
5.0,IL,RENT,33000.0,19.38,0,999.0,0,9,8,43876,22920,0,0,999.0,0,0,5,2,19.0,8,0,3,17600,3,3,3,0,100.0,0,0,debt_consolidation,individual,3200,36,33000.0,19.38,1,1,0,0,3,0
3.0,GA,RENT,60000.0,11.0,0,70.0,0,13,9,56000,14338,0,0,70.0,0,0,2,5,999.0,9,0,2,36400,9,7,2,1,92.3,0,0,debt_consolidation,individual,10000,36,60000.0,11.0,0,0,1,0,18,0
4.0,MO,MORTGAGE,48000.0,2.88,0,999.0,2,26,9,147217,2489,0,0,999.0,0,0,2,3,0.0,9,0,1,25000,18,6,1,2,100.0,0,0,house,individual,6000,36,48000.0,2.88,1,1,0,0,14,0
4.0,CA,MORTGAGE,106000.0,26.25,0,999.0,2,36,15,405236,105548,0,0,999.0,0,0,2,4,0.0,15,0,8,62120,26,12,12,4,100.0,0,0,debt_consolidation,individual,12000,36,106000.0,26.25,1,1,0,0,19,0
3.0,TX,MORTGAGE,245000.0,24.9,0,68.0,1,37,20,772243,497876,0,0,68.0,0,0,13,4,6.0,20,0,2,74100,8,6,2,1,100.0,0,0,debt_consolidation,individual,40000,60,245000.0,24.9,0,0,0,0,14,0
9.0,AR,MORTGAGE,50000.0,36.75,1,3.0,0,31,20,246210,51523,0,0,999.0,0,0,2,3,17.0,20,0,8,71100,26,17,10,2,90.3,0,0,credit_card,joint,19000,60,101000.0,20.92,0,1,0,0,34,0
3.0,SC,MORTGAGE,80000.0,28.3,0,35.0,0,27,14,250359,113927,0,0,999.0,0,0,2,4,20.0,14,0,3,23800,14,11,6,4,96.3,0,0,debt_consolidation,individual,28000,60,80000.0,28.3,0,1,0,0,12,0
10.0,CA,MORTGAGE,140000.0,13.82,0,999.0,2,21,12,631258,69647,0,0,999.0,0,0,2,5,0.0,12,0,1,58100,13,9,3,2,100.0,0,0,debt_consolidation,individual,15000,60,140000.0,13.82,1,1,0,0,23,0
1.0,MD,OWN,70000.0,0.0,0,31.0,0,13,3,30400,92,0,0,999.0,0,0,0,0,999.0,3,0,0,0,11,3,1,0,92.3,0,0,small_business,individual,2400,36,70000.0,0.0,0,1,1,0,12,0
2.0,MD,RENT,45000.0,10.59,0,999.0,1,9,7,14500,13304,0,0,999.0,0,0,0,0,6.0,7,0,4,11300,8,7,6,0,100.0,0,0,debt_consolidation,individual,10000,36,45000.0,10.59,1,1,0,0,13,0
10.0,NJ,MORTGAGE,70000.0,17.06,0,102.0,2,21,14,363649,29954,0,0,102.0,0,0,3,4,7.0,14,0,3,12900,15,10,7,2,95.2,0,0,car,joint,24000,60,105000.0,13.27,0,0,0,0,28,1
2.0,PA,RENT,75000.0,18.53,0,999.0,2,12,6,55075,34186,0,0,999.0,0,0,2,3,2.0,6,0,1,19600,9,4,2,0,100.0,0,0,other,individual,9500,36,75000.0,18.53,1,1,0,0,10,0
2.0,CA,RENT,53592.0,7.1,0,999.0,0,6,4,42499,10466,2,0,999.0,0,3943,1,1,14.0,4,0,1,18800,3,3,2,1,100.0,0,0,other,individual,30000,36,53592.0,7.1,1,1,0,0,7,0
6.0,MI,MORTGAGE,19000.0,24.79,0,999.0,0,12,6,23234,12435,0,1,999.0,0,154,0,2,13.0,6,0,2,3000,8,5,4,1,100.0,0,1,other,joint,10000,60,43000.0,17.15,1,1,0,1,12,0
5.0,MD,RENT,90000.0,15.72,0,999.0,8,24,10,77285,51012,0,0,999.0,0,0,2,4,3.0,10,0,2,23900,11,8,3,3,100.0,0,0,moving,individual,15000,60,90000.0,15.72,1,1,0,0,11,0
10.0,VA,RENT,77000.0,14.82,0,80.0,0,29,14,74852,44015,0,0,80.0,0,0,2,5,16.0,14,0,3,27700,19,11,6,3,96.6,0,0,debt_consolidation,individual,35000,60,77000.0,14.82,0,0,0,0,39,0
2.0,TX,RENT,42000.0,25.89,0,999.0,1,11,6,43239,31094,0,0,999.0,0,0,3,4,1.0,6,0,2,8300,7,3,3,0,100.0,0,0,credit_card,individual,10000,36,42000.0,25.89,1,1,0,0,12,0
4.0,TX,MORTGAGE,130000.0,13.51,0,999.0,2,15,11,403408,49857,0,0,999.0,0,667,2,9,8.0,11,0,2,34300,7,6,4,2,100.0,0,0,home_improvement,individual,40000,60,130000.0,13.51,1,1,0,0,25,0
10.0,NC,OWN,76300.0,10.71,0,68.0,4,30,12,185068,26515,0,1,68.0,0,0,2,7,0.0,12,0,2,16800,21,9,4,3,96.7,0,1,debt_consolidation,individual,15000,36,76300.0,10.71,0,0,0,0,36,0
2.0,FL,MORTGAGE,190000.0,2.68,0,999.0,0,17,9,175300,18870,0,0,999.0,0,0,0,4,16.0,9,0,4,78300,10,8,5,1,100.0,0,0,debt_consolidation,individual,20000,36,190000.0,2.68,1,1,0,0,12,0
0.0,TX,RENT,41000.0,25.7,0,999.0,0,23,7,29311,13527,0,0,999.0,0,0,2,1,17.0,7,0,5,10300,7,5,5,2,100.0,0,0,debt_consolidation,individual,4500,36,41000.0,25.7,1,1,0,0,8,0
