emp_length,state,homeownership,annual_income,debt_to_income,delinq_2y,months_since_last_delinq,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,combined_annual_income,combined_dti,months_since_last_delinq_never,months_since_90d_late_never,months_since_last_credit_inquiry_never,emp_length_missing,credit_history_years,loan_to_income,installment_to_income,credit_utilization_ratio,open_credit_ratio,cc_balance_ratio,open_cc_ratio,recent_account_ratio,accounts_per_credit_year,inquiries_per_credit_year,total_negative_marks,has_delinq_history,region,log_annual_income,log_loan_amount,target_delinquent
3.0,NJ,MORTGAGE,90000.0,18.01,0,38.0,6,28,10,70795,38767,0,0,38.0,0,1250,2,5,5.0,10,0,2,11100,14,8,6,1,92.9,0,0,moving,individual,28000,60,90000.0,18.01,0,0,0,0,15,0.3111111111111111,0.06222222222222223,0.5475951691503638,0.35714285714285715,0.75,0.5714285714285714,0.17857142857142858,1.8666666666666667,0.4,0,0,Northeast,11.407576060361786,10.239995502805316,0
10.0,HI,RENT,40000.0,5.04,0,999.0,1,30,14,28800,4321,0,1,999.0,0,0,0,11,8.0,14,0,3,16500,24,14,4,0,100.0,0,1,debt_consolidation,individual,5000,36,40000.0,5.04,1,1,0,0,20,0.125,0.041666666666666664,0.15003472222222222,0.4666666666666667,0.2857142857142857,0.5833333333333334,0.36666666666666664,1.5,0.05,2,1,West,10.596659732783579,8.517393171418904,0
3.0,WI,RENT,40000.0,21.15,0,28.0,4,31,10,24193,16000,0,0,28.0,0,432,1,13,7.0,10,0,3,4300,14,8,6,0,93.5,0,0,other,individual,2000,36,40000.0,21.15,0,0,0,0,10,0.05,0.016666666666666666,0.6613483238953416,0.3225806451612903,0.75,0.5714285714285714,0.41935483870967744,3.1,0.4,0,0,Midwest,10.596659732783579,7.601402334583733,0
1.0,PA,RENT,30000.0,10.16,0,999.0,0,4,4,25400,4997,0,1,999.0,0,0,1,1,15.0,4,0,2,19400,3,3,2,0,100.0,1,0,debt_consolidation,individual,21600,36,30000.0,10.16,1,1,0,0,9,0.72,0.24,0.19673228346456692,1.0,0.6666666666666666,1.0,0.25,0.4444444444444444,0.0,2,1,Northeast,10.308985993422082,9.980494888896912,0
10.0,CA,RENT,35000.0,57.96,0,999.0,7,22,16,69839,52722,0,0,999.0,0,0,1,6,4.0,16,0,10,32700,20,15,13,0,100.0,0,0,credit_card,joint,23000,36,57000.0,37.66,1,1,0,0,8,0.40350877192982454,0.13450292397660818,0.7549077163189621,0.7272727272727273,0.8666666666666667,0.75,0.2727272727272727,2.75,0.875,0,0,West,10.950824090522445,10.043292972227004,0
6.0,KY,OWN,34000.0,6.46,1,3.0,6,32,12,42100,3898,0,0,60.0,0,0,0,2,5.0,12,0,1,27200,27,12,5,3,78.1,0,0,other,individual,5000,36,34000.0,6.46,0,0,0,1,26,0.14705882352941177,0.049019607843137254,0.09258907363420428,0.375,0.4166666666666667,0.4444444444444444,0.0625,1.2307692307692308,0.23076923076923078,1,1,South,10.434145214930487,8.517393171418904,0
10.0,MI,MORTGAGE,35000.0,23.66,0,999.0,1,12,10,291852,18916,0,0,999.0,0,0,2,1,9.0,10,0,3,9100,8,7,6,2,100.0,0,0,credit_card,joint,24000,60,155000.0,13.12,1,1,0,0,12,0.15483870967741936,0.03096774193548387,0.06481367268341488,0.8333333333333334,0.8571428571428571,0.875,0.08333333333333333,1.0,0.08333333333333333,0,0,Midwest,11.951186847493476,10.085850775128717,0
10.0,AZ,MORTGAGE,110000.0,16.19,1,19.0,1,30,15,342336,60805,0,0,71.0,0,0,2,4,7.0,15,0,5,22250,16,12,10,7,93.0,0,0,debt_consolidation,individual,20000,60,110000.0,16.19,0,0,0,0,11,0.18181818181818182,0.03636363636363636,0.1776178958683866,0.5,0.8333333333333334,0.75,0.13333333333333333,2.727272727272727,0.09090909090909091,1,1,West,11.608244735642321,9.90353755128617,0
10.0,NV,MORTGAGE,65000.0,36.48,1,18.0,3,35,21,283190,69561,0,0,18.0,0,0,6,10,4.0,21,0,11,36700,19,14,14,2,97.1,0,0,home_improvement,individual,20000,36,65000.0,36.48,0,0,0,0,18,0.3076923076923077,0.10256410256410256,0.2456336735054204,0.6,1.0,0.7368421052631579,0.2857142857142857,1.9444444444444444,0.16666666666666666,1,1,West,11.082157933374816,9.90353755128617,0
3.0,IL,RENT,30000.0,18.91,0,999.0,0,9,6,33114,17768,0,0,999.0,0,0,1,5,17.0,6,0,3,14700,7,5,3,0,100.0,0,0,credit_card,individual,6400,36,30000.0,18.91,1,1,0,0,15,0.21333333333333335,0.07111111111111111,0.5365706347768315,0.6666666666666666,0.6,0.7142857142857143,0.5555555555555556,0.6,0.0,0,0,Midwest,10.308985993422082,8.764209507142004,0
